
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'INFO:     Shutting down
INFO:     Waiting for application shutdown.
INFO:     Application shutdown complete.
INFO:     Finished server process [2298706]

WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
INFO:     Started server process [2585695]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)

WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
WS Error (Binance Kline 1m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_1m'
WS Error (Binance Kline 5m): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@kline_5m'
WS Error (Binance): 451, message='Invalid response status', url='wss://stream.binance.com:9443/ws/btcusdt@trade'
